"RANK","TEAM","ATHLETE","SETS WON","GAMES WON"
"1","#8C4799","McClendon, D.","80","60"
"2","#FF8F28","Lowe, K.","40","0"
"3","#8C4799","Nwanebu, E.","80","60"
"4","#8C4799","De La Cruz, B.","80","60"
"5","#8C4799","Hunter, K.","80","60"
"6","#8C4799","Vélez Agosto, N.","80","60"
"7","#8C4799","Grant, N.","80","60"
"8","#8C4799","Bastianelli, A.","80","60"
"9","#8C4799","Freeman, S.","80","60"
"10","#8C4799","Wilson, E.","80","60"
"11","#8C4799","Peterson, A.","80","60"
"12","#8C4799","Lohman, M.","80","60"
"13","#FF8F28","Bruns, T.","40","0"
"14","#FF8F28","Gibbemeyer, L.","40","0"
"15","#FF8F28","Rosado, D.","40","0"
"16","#FF8F28","Crocker, C.","40","0"
"17","#FF8F28","Aliyeva, O.","40","0"
"18","#FF8F28","Handley, E.","40","0"
"19","#FF8F28","Carter, K.","40","0"
"20","#FF8F28","Holman, B.","40","0"
"21","#FF8F28","Fairs, E.","40","0"
"22","#FF8F28","Abbott, S.","40","0"
